id,Longitude,Latitude,RCP85_P5_2050s,RCP85_P25_2050s,RCP85_P50_2050s,RCP85_P75_2050s,RCP85_P95_2050s,RCP60_P5_2050s,RCP60_P25_2050s,RCP60_P50_2050s,RCP60_P75_2050s,RCP60_P95_2050s,RCP45_P5_2050s,RCP45_P25_2050s,RCP45_P50_2050s,RCP45_P75_2050s,RCP45_P95_2050s,RCP26_P5_2050s,RCP26_P25_2050s,RCP26_P50_2050s,RCP26_P75_2050s,RCP26_P95_2050s,RCP85_P5_2080s,RCP85_P25_2080s,RCP85_P50_2080s,RCP85_P75_2080s,RCP85_P95_2080s,RCP60_P5_2080s,RCP60_P25_2080s,RCP60_P50_2080s,RCP60_P75_2080s,RCP60_P95_2080s,RCP45_P5_2080s,RCP45_P25_2080s,RCP45_P50_2080s,RCP45_P75_2080s,RCP45_P95_2080s,RCP26_P5_2080s,RCP26_P25_2080s,RCP26_P50_2080s,RCP26_P75_2080s,RCP26_P95_2080s,REF_1986_2005
4787,-91.375,50.0,-3.4,0.6,2.7,5.0,8.2,-4.2,0.0,2.3,4.8,7.2,-4.5,-0.4,2.0,4.4,7.4,-5.3,-1.2,1.3,3.8,6.6,-0.7,2.6,4.8,7.4,10.6,-2.0,1.4,3.7,6.1,8.8,-3.9,0.1,2.6,5.1,8.1,-5.3,-1.4,1.1,3.6,6.7,-8.2
4788,-91.25,50.0,-3.4,0.6,2.8,5.0,8.3,-4.2,-0.0,2.3,4.8,7.2,-4.4,-0.3,2.0,4.5,7.4,-5.2,-1.1,1.3,3.8,6.6,-0.6,2.6,4.9,7.4,10.6,-2.1,1.5,3.7,6.2,8.8,-3.8,0.1,2.6,5.1,8.1,-5.2,-1.3,1.2,3.6,6.7,-8.2
4789,-91.125,50.0,-3.4,0.6,2.8,5.0,8.2,-4.2,-0.1,2.3,4.8,7.2,-4.4,-0.3,2.0,4.5,7.4,-5.2,-1.1,1.3,3.8,6.6,-0.6,2.6,4.9,7.4,10.6,-2.1,1.5,3.7,6.2,8.8,-3.8,0.1,2.6,5.1,8.1,-5.2,-1.3,1.2,3.6,6.8,-8.3
4790,-91.0,50.0,-3.4,0.5,2.7,5.0,8.2,-4.2,-0.1,2.3,4.8,7.2,-4.5,-0.4,2.0,4.4,7.4,-5.2,-1.2,1.3,3.8,6.6,-0.7,2.6,4.9,7.4,10.6,-2.1,1.5,3.7,6.2,8.8,-3.9,0.1,2.6,5.1,8.1,-5.3,-1.4,1.2,3.6,6.7,-8.3
4791,-90.875,50.0,-3.4,0.5,2.7,5.0,8.3,-4.2,-0.1,2.4,4.8,7.2,-4.4,-0.4,2.0,4.4,7.4,-5.2,-1.2,1.3,3.8,6.7,-0.6,2.6,4.9,7.4,10.6,-2.1,1.5,3.8,6.2,8.8,-3.9,0.1,2.6,5.1,8.1,-5.3,-1.3,1.2,3.6,6.7,-8.3
4792,-90.75,50.0,-3.3,0.6,2.8,5.0,8.3,-4.2,-0.1,2.3,4.8,7.3,-4.4,-0.3,2.0,4.5,7.5,-5.2,-1.1,1.3,3.8,6.7,-0.6,2.6,4.9,7.4,10.7,-2.1,1.5,3.7,6.2,8.8,-3.8,0.2,2.6,5.1,8.2,-5.2,-1.3,1.2,3.7,6.7,-8.3
4793,-90.625,50.0,-3.3,0.6,2.8,5.0,8.3,-4.2,-0.1,2.3,4.8,7.3,-4.4,-0.3,2.0,4.5,7.5,-5.1,-1.1,1.3,3.8,6.7,-0.6,2.7,4.9,7.4,10.7,-2.1,1.5,3.7,6.2,8.8,-3.8,0.1,2.6,5.1,8.2,-5.2,-1.3,1.2,3.6,6.7,-8.3
4794,-90.5,50.0,-3.3,0.6,2.8,5.0,8.3,-4.1,-0.1,2.3,4.8,7.5,-4.5,-0.3,2.0,4.5,7.5,-5.1,-1.1,1.3,3.8,6.7,-0.6,2.7,5.0,7.4,10.7,-2.1,1.5,3.7,6.2,8.8,-3.8,0.2,2.6,5.1,8.2,-5.2,-1.3,1.2,3.6,6.7,-8.3
4795,-90.375,50.0,-3.3,0.6,2.8,5.0,8.4,-4.2,-0.1,2.3,4.8,7.4,-4.4,-0.2,2.0,4.5,7.5,-5.1,-1.0,1.3,3.8,6.7,-0.6,2.7,5.0,7.5,10.7,-2.1,1.5,3.7,6.2,8.8,-3.8,0.2,2.7,5.1,8.2,-5.2,-1.3,1.2,3.7,6.8,-8.3
4796,-90.25,50.0,-3.3,0.7,2.8,5.0,8.4,-4.2,-0.1,2.3,4.7,7.4,-4.4,-0.3,2.0,4.5,7.5,-5.0,-1.0,1.3,3.8,6.8,-0.5,2.7,5.0,7.5,10.7,-2.1,1.6,3.7,6.2,8.8,-3.8,0.2,2.7,5.1,8.3,-5.2,-1.3,1.2,3.6,6.8,-8.3
4797,-90.125,50.0,-3.2,0.7,2.8,5.1,8.4,-4.2,-0.1,2.4,4.8,7.4,-4.4,-0.3,2.1,4.5,7.6,-5.0,-1.0,1.4,3.9,6.9,-0.6,2.7,5.0,7.5,10.7,-2.1,1.6,3.7,6.2,8.9,-3.8,0.2,2.7,5.2,8.3,-5.2,-1.3,1.3,3.7,6.8,-8.4
4798,-90.0,50.0,-3.2,0.7,2.8,5.1,8.4,-4.2,-0.2,2.3,4.8,7.5,-4.4,-0.3,2.1,4.5,7.6,-5.0,-1.0,1.3,3.9,6.9,-0.6,2.7,5.0,7.5,10.7,-2.1,1.6,3.7,6.2,8.8,-3.8,0.2,2.7,5.1,8.3,-5.2,-1.3,1.2,3.6,6.8,-8.4
4799,-89.875,50.0,-3.2,0.7,2.8,5.0,8.4,-4.2,-0.1,2.3,4.8,7.5,-4.4,-0.3,2.1,4.5,7.6,-5.0,-1.0,1.3,3.9,6.9,-0.6,2.7,5.0,7.5,10.8,-2.2,1.6,3.7,6.2,8.9,-3.8,0.2,2.7,5.2,8.3,-5.3,-1.3,1.2,3.6,6.8,-8.4
4800,-89.75,50.0,-3.2,0.7,2.8,5.1,8.5,-4.2,-0.1,2.3,4.8,7.5,-4.3,-0.3,2.0,4.5,7.6,-5.0,-1.0,1.4,3.9,6.9,-0.6,2.7,5.0,7.5,10.8,-2.2,1.6,3.7,6.2,8.8,-3.7,0.2,2.7,5.1,8.2,-5.2,-1.3,1.2,3.6,6.8,-8.3
4801,-89.625,50.0,-3.2,0.7,2.8,5.1,8.5,-4.2,-0.1,2.3,4.8,7.5,-4.3,-0.2,2.1,4.5,7.6,-5.0,-1.0,1.4,3.9,6.9,-0.5,2.7,5.0,7.5,10.8,-2.2,1.6,3.7,6.2,8.8,-3.7,0.2,2.7,5.2,8.3,-5.1,-1.3,1.2,3.7,6.8,-8.3
4802,-89.5,50.0,-3.2,0.8,2.9,5.1,8.6,-4.1,-0.1,2.3,4.8,7.5,-4.1,-0.2,2.1,4.6,7.7,-4.9,-0.8,1.4,4.0,7.0,-0.5,2.8,5.1,7.6,10.9,-2.2,1.6,3.7,6.2,8.8,-3.7,0.3,2.8,5.2,8.4,-5.0,-1.1,1.3,3.8,6.9,-8.3
4803,-89.375,50.0,-3.1,0.8,2.8,5.1,8.6,-4.1,-0.2,2.3,4.8,7.4,-4.1,-0.2,2.2,4.6,7.7,-4.9,-0.8,1.4,4.0,7.0,-0.4,2.8,5.1,7.6,10.9,-2.2,1.6,3.7,6.2,8.7,-3.7,0.3,2.8,5.2,8.4,-5.0,-1.0,1.3,3.8,6.9,-8.3
4804,-89.25,50.0,-3.0,1.0,3.0,5.2,8.7,-4.2,-0.2,2.3,4.8,7.4,-3.9,-0.0,2.3,4.7,7.8,-4.8,-0.7,1.5,4.1,7.2,-0.4,2.9,5.2,7.7,11.1,-2.1,1.7,3.8,6.3,8.9,-3.5,0.4,2.9,5.4,8.6,-5.0,-0.9,1.4,3.9,7.1,-8.3
4805,-89.125,50.0,-3.0,0.9,3.0,5.2,8.6,-4.2,-0.2,2.3,4.8,7.4,-3.9,-0.1,2.2,4.7,7.8,-4.8,-0.7,1.5,4.1,7.2,-0.4,2.9,5.1,7.7,11.0,-2.1,1.7,3.8,6.3,8.9,-3.5,0.4,2.9,5.4,8.6,-5.0,-0.9,1.4,3.9,7.1,-8.3
4806,-89.0,50.0,-3.0,1.0,3.0,5.3,8.7,-3.9,-0.2,2.4,4.8,7.9,-3.9,-0.0,2.3,4.7,7.9,-4.8,-0.7,1.5,4.1,7.2,-0.3,2.9,5.2,7.7,11.1,-2.1,1.7,3.8,6.3,9.0,-3.5,0.4,2.9,5.4,8.7,-4.9,-0.9,1.5,3.9,7.2,-8.3
4807,-88.875,50.0,-2.9,1.0,3.0,5.3,8.8,-3.9,-0.2,2.4,4.8,7.9,-3.8,0.0,2.3,4.7,8.0,-4.7,-0.7,1.6,4.2,7.3,-0.3,3.0,5.2,7.8,11.2,-2.1,1.7,3.8,6.3,9.0,-3.4,0.4,3.0,5.4,8.7,-4.9,-0.8,1.5,3.9,7.2,-8.3
4808,-88.75,50.0,-2.9,1.0,3.0,5.3,8.8,-4.0,-0.2,2.4,4.8,7.9,-3.7,0.1,2.4,4.8,8.0,-4.6,-0.6,1.6,4.2,7.2,-0.3,3.0,5.2,7.8,11.3,-2.1,1.7,3.8,6.3,8.9,-3.3,0.4,3.0,5.5,8.8,-4.8,-0.7,1.5,4.0,7.2,-8.3
4809,-88.625,50.0,-2.9,1.1,3.0,5.3,8.8,-4.0,-0.2,2.4,4.9,7.9,-3.7,0.1,2.4,4.8,8.0,-4.6,-0.6,1.6,4.2,7.3,-0.3,3.0,5.2,7.8,11.2,-2.1,1.8,3.9,6.4,8.9,-3.3,0.5,3.0,5.4,8.8,-4.8,-0.8,1.5,3.9,7.2,-8.3
4810,-88.5,50.0,-2.8,1.1,3.0,5.4,8.8,-4.0,-0.2,2.4,4.9,7.7,-3.7,0.1,2.4,4.8,8.0,-4.7,-0.6,1.7,4.2,7.3,-0.3,3.0,5.3,7.8,11.3,-2.0,1.8,3.8,6.3,8.9,-3.3,0.5,3.0,5.5,8.7,-4.7,-0.7,1.5,3.9,7.2,-8.3
4811,-88.375,50.0,-2.8,1.1,3.0,5.4,8.7,-4.0,-0.1,2.4,4.9,7.7,-3.7,0.1,2.4,4.8,8.0,-4.7,-0.6,1.7,4.2,7.3,-0.3,3.0,5.3,7.8,11.3,-2.0,1.8,3.8,6.3,8.9,-3.3,0.5,3.0,5.4,8.7,-4.7,-0.7,1.5,3.9,7.2,-8.3
4812,-88.25,50.0,-2.8,1.1,3.0,5.4,8.7,-4.0,-0.1,2.4,4.9,7.7,-3.7,0.1,2.4,4.8,8.0,-4.7,-0.5,1.7,4.2,7.3,-0.3,3.0,5.3,7.8,11.3,-2.0,1.8,3.9,6.3,9.0,-3.3,0.5,3.0,5.4,8.8,-4.7,-0.7,1.5,3.9,7.2,-8.3
4813,-88.125,50.0,-2.8,1.1,3.0,5.3,8.7,-3.9,-0.1,2.4,5.0,7.7,-3.7,0.1,2.4,4.8,8.0,-4.8,-0.6,1.6,4.1,7.2,-0.3,3.0,5.2,7.8,11.1,-2.0,1.8,4.0,6.4,9.1,-3.4,0.5,3.0,5.4,8.8,-4.8,-0.7,1.5,3.9,7.1,-8.3
4814,-88.0,50.0,-2.8,1.1,3.0,5.3,8.7,-4.0,-0.0,2.4,5.0,7.7,-3.7,0.0,2.3,4.7,8.0,-4.8,-0.6,1.6,4.1,7.2,-0.2,2.9,5.2,7.7,11.2,-1.9,1.8,4.0,6.4,9.1,-3.4,0.5,3.0,5.4,8.8,-4.8,-0.8,1.5,3.8,7.2,-8.3
4815,-87.875,50.0,-2.8,1.0,3.0,5.3,8.7,-4.0,0.0,2.5,5.0,7.7,-3.8,0.0,2.3,4.7,7.9,-4.8,-0.6,1.6,4.1,7.3,-0.2,3.0,5.2,7.7,11.2,-1.9,1.8,4.0,6.4,9.1,-3.5,0.5,3.0,5.3,8.8,-4.9,-0.8,1.5,3.8,7.2,-8.3
4816,-87.75,50.0,-2.8,1.0,3.0,5.3,8.7,-3.9,0.0,2.5,5.0,7.6,-3.8,0.0,2.3,4.7,7.9,-4.8,-0.6,1.6,4.1,7.3,-0.3,3.0,5.2,7.7,11.2,-1.9,1.8,4.0,6.4,9.1,-3.4,0.5,3.0,5.3,8.7,-4.9,-0.8,1.4,3.9,7.1,-8.3
4817,-87.625,50.0,-2.8,1.0,3.0,5.3,8.6,-3.9,0.0,2.5,5.0,7.8,-3.8,-0.0,2.3,4.7,7.9,-4.8,-0.6,1.6,4.1,7.3,-0.3,3.0,5.3,7.8,11.2,-1.9,1.8,4.0,6.4,9.1,-3.4,0.5,3.0,5.3,8.7,-4.9,-0.9,1.5,3.9,7.1,-8.3
4818,-87.5,50.0,-2.9,1.0,3.0,5.3,8.6,-3.9,0.1,2.5,5.0,7.8,-3.8,-0.0,2.3,4.7,7.8,-4.9,-0.7,1.5,4.0,7.3,-0.2,3.0,5.2,7.7,11.2,-1.8,1.8,4.0,6.4,9.1,-3.5,0.5,3.0,5.3,8.7,-5.0,-0.9,1.4,3.8,7.1,-8.3
4819,-87.375,50.0,-3.0,0.9,3.0,5.2,8.5,-3.8,0.0,2.5,5.0,7.8,-3.9,-0.1,2.3,4.6,7.8,-4.9,-0.8,1.5,4.0,7.2,-0.2,3.0,5.2,7.7,11.1,-1.8,1.8,3.9,6.4,9.1,-3.4,0.4,3.0,5.2,8.6,-5.1,-0.9,1.4,3.8,7.1,-8.3
4820,-87.25,50.0,-3.0,0.9,3.0,5.2,8.4,-3.8,0.1,2.5,5.0,7.8,-3.9,-0.0,2.3,4.6,7.8,-4.9,-0.8,1.5,4.0,7.1,-0.3,3.0,5.2,7.7,11.1,-1.8,1.8,3.9,6.4,9.1,-3.5,0.4,3.0,5.2,8.6,-5.0,-0.9,1.4,3.7,7.1,-8.3
4821,-87.125,50.0,-3.0,0.9,3.0,5.2,8.4,-3.7,0.1,2.5,4.9,7.6,-3.9,-0.0,2.3,4.6,7.8,-4.9,-0.8,1.5,4.0,7.1,-0.3,3.0,5.2,7.6,11.0,-1.7,1.8,4.0,6.3,9.1,-3.5,0.4,3.0,5.2,8.6,-5.1,-0.9,1.4,3.7,7.0,-8.4
4822,-87.0,50.0,-3.0,0.9,3.0,5.2,8.4,-3.7,0.1,2.5,4.9,7.7,-4.0,-0.1,2.3,4.5,7.8,-4.9,-0.8,1.5,3.9,7.1,-0.3,3.0,5.2,7.6,11.0,-1.7,1.8,4.0,6.3,9.1,-3.5,0.4,2.9,5.1,8.6,-5.1,-0.9,1.4,3.7,7.0,-8.4
4823,-86.875,50.0,-3.0,0.9,3.0,5.2,8.4,-3.6,0.1,2.5,4.9,7.7,-3.9,-0.0,2.3,4.5,7.8,-4.9,-0.8,1.5,4.0,7.1,-0.3,3.0,5.2,7.7,11.0,-1.7,1.8,4.0,6.3,9.1,-3.5,0.4,2.9,5.1,8.6,-5.0,-0.8,1.4,3.7,7.0,-8.3
4824,-86.75,50.0,-3.0,0.9,3.0,5.2,8.4,-3.6,0.1,2.5,4.9,7.7,-3.9,-0.0,2.3,4.6,7.8,-4.9,-0.9,1.6,4.0,7.2,-0.3,3.0,5.2,7.7,11.0,-1.6,1.8,4.0,6.4,9.2,-3.5,0.5,2.9,5.2,8.6,-5.0,-0.8,1.4,3.7,7.0,-8.3
4825,-86.625,50.0,-2.9,0.9,3.0,5.2,8.4,-3.6,0.1,2.5,4.9,7.5,-3.9,-0.0,2.3,4.6,7.7,-4.9,-0.8,1.6,4.0,7.1,-0.3,3.0,5.2,7.7,11.0,-1.6,1.9,4.0,6.4,9.1,-3.4,0.4,2.9,5.2,8.6,-5.0,-0.8,1.4,3.6,6.9,-8.3
4826,-86.5,50.0,-2.9,0.9,3.0,5.2,8.3,-3.6,0.1,2.5,4.9,7.5,-3.8,-0.0,2.3,4.6,7.7,-4.9,-0.8,1.6,3.9,7.1,-0.3,3.0,5.2,7.7,11.0,-1.6,1.9,4.0,6.4,9.1,-3.4,0.5,2.9,5.2,8.5,-5.0,-0.8,1.4,3.7,6.9,-8.3
4827,-86.375,50.0,-2.9,0.9,3.0,5.2,8.3,-3.5,0.2,2.5,4.9,7.5,-3.8,0.0,2.2,4.6,7.8,-4.9,-0.8,1.6,3.9,7.1,-0.3,3.0,5.3,7.6,11.0,-1.6,1.9,4.0,6.4,9.1,-3.4,0.5,2.9,5.2,8.6,-5.0,-0.8,1.4,3.7,6.8,-8.3
4828,-86.25,50.0,-2.9,1.0,3.0,5.2,8.3,-3.3,0.2,2.4,4.9,7.5,-3.8,0.0,2.3,4.6,7.7,-4.9,-0.8,1.6,3.9,7.1,-0.3,3.0,5.2,7.6,10.9,-1.5,1.9,4.0,6.3,9.0,-3.4,0.5,2.9,5.2,8.5,-4.9,-0.8,1.4,3.7,6.8,-8.2
4829,-86.125,50.0,-2.9,1.0,3.0,5.2,8.3,-3.3,0.2,2.5,4.9,7.5,-3.8,0.0,2.3,4.6,7.7,-4.9,-0.8,1.6,3.9,7.1,-0.2,3.1,5.2,7.6,11.0,-1.5,1.9,4.0,6.3,9.0,-3.4,0.5,2.9,5.2,8.5,-4.9,-0.8,1.4,3.6,6.7,-8.2
4830,-86.0,50.0,-2.9,1.0,3.0,5.2,8.3,-3.3,0.3,2.4,4.9,7.5,-3.8,0.0,2.3,4.5,7.7,-4.9,-0.8,1.6,3.9,7.2,-0.2,3.1,5.2,7.6,10.9,-1.5,1.9,4.0,6.3,9.0,-3.4,0.6,3.0,5.2,8.5,-5.0,-0.8,1.4,3.6,6.8,-8.2
4831,-85.875,50.0,-2.9,1.0,3.0,5.2,8.2,-3.3,0.2,2.4,4.9,7.6,-3.7,0.0,2.3,4.5,7.7,-4.8,-0.8,1.6,3.9,7.1,-0.2,3.1,5.2,7.6,10.9,-1.4,1.9,4.0,6.3,9.0,-3.4,0.6,2.9,5.2,8.5,-5.0,-0.8,1.4,3.6,6.8,-8.1
4832,-85.75,50.0,-2.9,1.0,3.0,5.1,8.2,-3.2,0.3,2.5,4.9,7.4,-3.7,0.0,2.3,4.5,7.7,-4.8,-0.8,1.6,3.9,7.2,-0.2,3.1,5.2,7.6,10.9,-1.4,1.9,4.0,6.3,9.0,-3.3,0.6,3.0,5.2,8.5,-5.0,-0.7,1.4,3.6,6.8,-8.1
4833,-85.625,50.0,-2.8,1.0,3.0,5.1,8.3,-3.2,0.2,2.5,4.9,7.4,-3.7,0.1,2.3,4.6,7.7,-4.8,-0.7,1.6,3.9,7.1,-0.1,3.1,5.2,7.6,10.9,-1.4,1.9,3.9,6.2,8.8,-3.3,0.6,3.0,5.2,8.5,-5.0,-0.7,1.4,3.6,6.7,-8.1
4834,-85.5,50.0,-2.8,1.0,3.1,5.2,8.3,-3.2,0.2,2.5,4.9,7.4,-3.7,0.1,2.3,4.6,7.7,-4.9,-0.7,1.6,3.9,7.2,-0.1,3.2,5.2,7.6,10.9,-1.4,1.9,4.0,6.2,8.8,-3.3,0.6,3.0,5.2,8.5,-5.0,-0.7,1.4,3.6,6.7,-8.1
4835,-85.375,50.0,-2.8,1.1,3.1,5.2,8.3,-3.2,0.3,2.5,4.9,7.4,-3.7,0.1,2.4,4.6,7.7,-4.9,-0.7,1.6,3.9,7.2,-0.1,3.2,5.3,7.6,10.9,-1.4,1.9,4.0,6.2,8.8,-3.2,0.6,3.1,5.2,8.5,-4.9,-0.7,1.4,3.6,6.7,-8.0
4836,-85.25,50.0,-2.8,1.1,3.1,5.2,8.2,-3.2,0.3,2.4,4.8,7.3,-3.6,0.1,2.4,4.6,7.7,-4.9,-0.7,1.6,3.9,7.2,-0.1,3.2,5.3,7.6,10.9,-1.4,1.9,3.9,6.2,8.7,-3.2,0.6,3.1,5.2,8.6,-4.9,-0.7,1.5,3.6,6.7,-8.0
4837,-85.125,50.0,-2.8,1.0,3.1,5.2,8.2,-3.2,0.3,2.4,4.8,7.4,-3.6,0.1,2.4,4.6,7.7,-4.9,-0.7,1.6,3.9,7.1,-0.1,3.2,5.2,7.6,10.8,-1.4,1.9,3.9,6.2,8.7,-3.2,0.6,3.1,5.2,8.6,-4.9,-0.7,1.4,3.6,6.6,-8.0
4838,-85.0,50.0,-2.8,1.1,3.1,5.1,8.2,-3.2,0.3,2.4,4.8,7.4,-3.6,0.1,2.4,4.6,7.7,-4.9,-0.7,1.6,3.9,7.1,-0.1,3.2,5.2,7.6,10.8,-1.4,1.9,4.0,6.2,8.7,-3.2,0.6,3.1,5.2,8.5,-5.0,-0.7,1.4,3.6,6.6,-7.9
4839,-84.875,50.0,-2.8,1.0,3.1,5.1,8.2,-3.0,0.3,2.4,4.9,7.4,-3.6,0.1,2.4,4.6,7.7,-4.9,-0.7,1.6,3.9,7.1,-0.1,3.2,5.2,7.6,10.8,-1.4,1.9,4.0,6.2,8.7,-3.2,0.6,3.1,5.2,8.5,-5.0,-0.7,1.4,3.6,6.6,-7.9
4840,-84.75,50.0,-2.8,1.0,3.0,5.1,8.2,-3.0,0.2,2.4,4.9,7.3,-3.6,0.1,2.4,4.6,7.6,-4.9,-0.7,1.6,3.9,7.0,-0.1,3.1,5.2,7.5,10.8,-1.3,1.8,4.0,6.2,8.6,-3.2,0.6,3.0,5.2,8.5,-5.0,-0.7,1.4,3.5,6.6,-7.9
4841,-84.625,50.0,-2.8,1.0,3.0,5.1,8.2,-3.1,0.2,2.4,4.9,7.3,-3.6,0.1,2.3,4.6,7.6,-4.9,-0.7,1.6,3.9,7.0,-0.1,3.1,5.2,7.5,10.8,-1.3,1.9,4.0,6.2,8.6,-3.2,0.6,3.0,5.2,8.5,-5.0,-0.7,1.4,3.5,6.6,-7.9
4842,-84.5,50.0,-2.8,1.0,3.0,5.1,8.2,-3.1,0.2,2.4,4.9,7.3,-3.6,0.1,2.4,4.6,7.6,-4.8,-0.7,1.6,3.9,7.1,-0.1,3.1,5.2,7.5,10.8,-1.3,1.8,3.9,6.2,8.6,-3.2,0.6,3.1,5.1,8.6,-5.0,-0.7,1.4,3.6,6.7,-7.9
4843,-84.375,50.0,-2.8,1.0,3.0,5.1,8.2,-3.1,0.2,2.4,4.9,7.3,-3.6,0.0,2.4,4.6,7.6,-4.8,-0.7,1.6,3.9,7.0,-0.1,3.1,5.2,7.5,10.8,-1.3,1.8,3.9,6.2,8.6,-3.2,0.6,3.0,5.1,8.5,-5.0,-0.7,1.4,3.6,6.6,-7.9
4844,-84.25,50.0,-2.9,1.0,3.0,5.0,8.1,-3.1,0.3,2.4,4.8,7.3,-3.7,-0.0,2.3,4.5,7.6,-4.8,-0.8,1.6,3.9,7.0,-0.1,3.1,5.2,7.5,10.7,-1.5,1.8,3.9,6.2,8.6,-3.2,0.6,3.0,5.1,8.5,-5.1,-0.8,1.4,3.5,6.5,-7.9
4845,-84.125,50.0,-3.0,0.9,2.9,5.0,8.1,-3.1,0.3,2.3,4.6,7.3,-3.7,-0.0,2.3,4.5,7.6,-4.8,-0.8,1.5,3.8,6.9,-0.1,3.1,5.2,7.4,10.7,-1.5,1.7,3.9,5.9,8.4,-3.3,0.6,3.0,5.0,8.4,-5.0,-0.8,1.3,3.5,6.5,-7.9
4846,-84.0,50.0,-3.0,0.9,2.9,5.0,8.1,-3.1,0.3,2.3,4.6,7.3,-3.7,-0.0,2.3,4.4,7.6,-4.8,-0.8,1.5,3.8,6.9,-0.2,3.0,5.1,7.4,10.7,-1.5,1.7,3.9,5.9,8.4,-3.3,0.6,2.9,5.0,8.4,-5.0,-0.8,1.3,3.5,6.5,-7.9
4847,-83.875,50.0,-3.0,0.9,2.9,5.0,8.0,-3.1,0.3,2.4,4.7,7.2,-3.8,-0.1,2.3,4.4,7.6,-4.7,-0.8,1.5,3.8,6.8,-0.2,3.0,5.1,7.4,10.6,-1.5,1.8,3.9,5.9,8.4,-3.4,0.5,2.9,5.0,8.4,-5.0,-0.9,1.3,3.4,6.5,-7.9
4848,-83.75,50.0,-3.0,0.9,2.9,5.0,8.0,-3.1,0.3,2.4,4.7,7.2,-3.8,-0.1,2.3,4.4,7.5,-4.7,-0.8,1.5,3.7,6.8,-0.2,3.1,5.1,7.4,10.7,-1.6,1.9,3.9,6.0,8.4,-3.4,0.6,2.9,5.0,8.4,-5.1,-0.9,1.3,3.4,6.5,-7.9
4849,-83.625,50.0,-3.0,0.9,2.9,5.0,8.0,-3.4,0.3,2.3,4.7,7.3,-3.8,-0.1,2.3,4.4,7.5,-4.9,-0.9,1.5,3.7,6.8,-0.3,3.0,5.1,7.3,10.6,-1.7,1.8,3.9,6.0,8.4,-3.5,0.5,2.9,5.0,8.4,-5.1,-0.9,1.2,3.4,6.5,-7.9
4850,-83.5,50.0,-3.0,0.9,2.9,5.0,8.0,-3.4,0.3,2.3,4.7,7.3,-3.7,-0.1,2.3,4.4,7.5,-4.9,-0.8,1.5,3.7,6.8,-0.2,3.0,5.1,7.3,10.6,-1.7,1.8,3.9,6.0,8.5,-3.4,0.5,2.9,5.0,8.4,-5.1,-0.9,1.2,3.5,6.5,-7.9
4851,-83.375,50.0,-3.1,0.9,2.9,5.0,8.0,-3.4,0.3,2.4,4.8,7.3,-3.7,-0.1,2.3,4.4,7.6,-4.9,-0.8,1.5,3.8,6.8,-0.2,3.0,5.1,7.4,10.7,-1.7,1.9,3.9,6.0,8.5,-3.4,0.5,2.9,5.0,8.4,-5.1,-0.8,1.2,3.5,6.6,-7.9
4852,-83.25,50.0,-3.1,0.9,2.9,5.0,8.1,-3.4,0.3,2.4,4.7,7.3,-3.7,-0.1,2.3,4.5,7.6,-4.9,-0.8,1.5,3.8,6.8,-0.1,3.0,5.1,7.4,10.7,-1.6,1.8,3.8,6.0,8.5,-3.3,0.5,2.9,5.0,8.5,-5.1,-0.8,1.3,3.5,6.6,-7.9
4853,-83.125,50.0,-3.1,0.9,2.9,5.0,8.0,-3.5,0.3,2.4,4.7,7.3,-3.7,-0.1,2.3,4.5,7.6,-4.9,-0.8,1.5,3.8,6.8,-0.1,3.0,5.1,7.4,10.7,-1.7,1.8,3.8,6.0,8.5,-3.3,0.5,2.9,5.0,8.5,-5.0,-0.8,1.3,3.6,6.6,-7.9
4854,-83.0,50.0,-3.0,0.9,3.0,5.0,8.0,-3.5,0.3,2.4,4.7,7.3,-3.7,-0.1,2.3,4.5,7.6,-4.9,-0.8,1.6,3.8,6.8,-0.1,3.1,5.2,7.4,10.7,-1.7,1.8,3.8,6.0,8.5,-3.3,0.5,2.9,5.0,8.5,-5.0,-0.8,1.3,3.6,6.6,-7.9
4855,-82.875,50.0,-3.0,0.9,3.0,5.1,8.1,-3.5,0.3,2.4,4.6,7.3,-3.6,-0.0,2.4,4.5,7.6,-4.9,-0.8,1.6,3.8,6.8,-0.1,3.1,5.2,7.4,10.7,-1.7,1.8,3.9,6.0,8.6,-3.2,0.6,2.9,5.0,8.5,-5.0,-0.7,1.3,3.6,6.6,-7.9
4856,-82.75,50.0,-3.0,1.0,3.0,5.1,8.1,-3.5,0.3,2.4,4.7,7.4,-3.5,0.0,2.4,4.5,7.7,-4.9,-0.7,1.6,3.9,6.9,-0.0,3.1,5.2,7.4,10.8,-1.7,1.8,3.9,6.0,8.6,-3.2,0.6,3.0,5.1,8.6,-5.0,-0.7,1.4,3.6,6.7,-8.0
4857,-82.625,50.0,-3.0,1.0,3.1,5.1,8.2,-3.5,0.3,2.4,4.7,7.4,-3.5,0.1,2.4,4.6,7.7,-4.9,-0.7,1.6,3.9,6.9,-0.1,3.1,5.3,7.4,10.8,-1.8,1.8,3.9,6.0,8.6,-3.2,0.7,3.0,5.1,8.6,-5.0,-0.7,1.4,3.6,6.7,-8.0
