Year,RCP2601,RCP2602,RCP2603,RCP2604,RCP2605,RCP2606,RCP2607,RCP2608,RCP2609,RCP2610,RCP2611,RCP2612,RCP26spr,RCP26sum,RCP26aut,RCP26ann,RCP26win,RCP4501,RCP4502,RCP4503,RCP4504,RCP4505,RCP4506,RCP4507,RCP4508,RCP4509,RCP4510,RCP4511,RCP4512,RCP45spr,RCP45sum,RCP45aut,RCP45ann,RCP45win,RCP6001,RCP6002,RCP6003,RCP6004,RCP6005,RCP6006,RCP6007,RCP6008,RCP6009,RCP6010,RCP6011,RCP6012,RCP60spr,RCP60sum,RCP60aut,RCP60ann,RCP60win,RCP8501,RCP8502,RCP8503,RCP8504,RCP8505,RCP8506,RCP8507,RCP8508,RCP8509,RCP8510,RCP8511,RCP8512,RCP85spr,RCP85sum,RCP85aut,RCP85ann,RCP85win
1981,-1,-0.2,-0.1,0,-0.1,-0.3,-0.3,0.5,0,-0.2,0.4,-0.1,-0.07,0,0.1,-0.1,-0.5,-0.2,0.1,0,0,0.2,0,-0.3,0.5,-0.1,-0.2,0,-0.2,0.1,0.1,-0.1,0,-0.5,-1.5,-0.3,0.1,-0.2,-0.1,0,-0.4,0.4,0.4,-0.3,0.5,0.1,-0.1,0,0.2,-0.1,-0.3,-0.6,-0.4,-0.2,0.1,0.5,0,-0.4,0.1,-0.3,-0.3,-0.2,-0.4,0.1,-0.1,-0.2,-0.2,-0.7
1982,-0.7,-0.7,-0.5,-0.5,0.3,0.1,-0.3,-0.2,-0.5,-0.4,-0.7,-2.3,-0.23,-0.1,-0.5,-0.5,-1.1,-0.4,-0.9,-0.8,-0.5,0.6,-0.2,-0.6,-0.1,-0.4,-0.2,-0.7,-2.1,-0.2,-0.3,-0.4,-0.5,-0.8,-0.8,-0.2,-0.6,-0.7,0.2,-0.1,-0.2,-0.5,-0.5,-0.5,-0.7,-2.3,-0.4,-0.3,-0.6,-0.6,-1.8,-0.7,-0.8,-1,-0.5,0.6,-0.1,-0.5,0,-0.3,-0.2,-0.4,-2,-0.3,-0.2,-0.3,-0.5,-0.8
1983,0.6,-1.8,-1.2,-1.9,-1.4,-1.1,-0.5,-1,-0.4,-0.5,-1.3,-1.6,-1.50,-0.9,-0.7,-1,-1.5,0.5,-0.6,-0.9,-1.3,-1.2,-1.1,-0.6,-1.1,-0.6,-0.6,-1,-1.4,-1.1,-0.9,-0.7,-0.8,-1.1,-0.1,-2.9,-1.7,-2.3,-1.1,-1.1,-0.4,-1.1,-0.3,-0.4,-1.3,-1.9,-1.7,-0.9,-0.7,-1.2,-1.4,0.2,-0.5,-0.9,-1,-0.9,-1.1,-0.7,-1,-0.5,-0.3,-1.1,-1.3,-0.9,-0.9,-0.6,-0.8,-0.9
1984,-1.4,-1.5,-0.6,0.2,-0.6,-1,-0.1,-0.6,-0.5,-0.1,-0.3,-0.9,-0.33,-0.6,-0.3,-0.6,-0.8,-0.4,-1.5,-0.6,-0.1,-1,-1,-0.2,-0.6,-0.5,-0.4,-0.2,-1.5,-0.6,-0.6,-0.4,-0.7,-1.3,-1.7,-0.7,-0.7,-0.2,-1,-1,-0.1,-0.5,-0.7,0.2,-0.7,-0.8,-0.6,-0.5,-0.4,-0.6,-0.7,-0.1,-1.3,-0.8,0.2,-0.5,-0.8,0.1,-0.5,-0.5,-0.5,-0.6,-1.1,-0.4,-0.4,-0.5,-0.5,-1.2
1985,-1.1,-0.4,-1.6,-1,0.1,-0.4,-0.1,0.1,0.1,0.2,0.2,-1.4,-0.83,-0.2,0.2,-0.4,-0.5,-1.4,-1,-1.5,-1,0.1,-0.3,0.1,0,0.1,0.1,0.3,-0.7,-0.8,-0.1,0.1,-0.4,-0.7,-1,-0.2,-1.2,-1.2,0.2,-0.4,-0.1,0.2,0.2,0.1,0.2,-2,-0.7,-0.1,0.2,-0.4,-0.6,-1.2,-1.1,-1.6,-1.5,-0.3,-0.2,-0.1,-0.1,0,-0.2,0.4,-0.4,-1.1,-0.1,0.1,-0.5,-0.6
1986,-0.5,0.4,-0.4,-0.8,-0.5,-0.6,-0.7,-0.4,-0.4,-0.6,-0.6,-0.4,-0.57,-0.6,-0.5,-0.5,-0.5,-1.4,0.2,-0.4,-1.1,-0.9,-0.6,-1,-0.3,-0.4,0,0,-0.2,-0.8,-0.6,-0.2,-0.5,-0.3,-0.1,0.4,-0.8,-0.7,-0.1,-0.7,-0.5,-0.5,-0.5,-0.9,-0.7,0,-0.5,-0.6,-0.7,-0.4,-0.2,-1,-0.2,-0.7,-1.1,-1,-0.5,-0.9,-0.4,-0.3,-0.2,-0.2,-0.4,-0.9,-0.6,-0.3,-0.6,-0.5
1987,-0.5,-0.7,-0.1,0.1,-0.1,-0.2,-0.5,-0.5,-0.6,-0.5,-0.4,0.2,-0.03,-0.4,-0.5,-0.3,-0.9,-0.4,-0.3,-0.3,0.3,-0.2,-0.4,-0.3,-0.3,-0.6,-0.3,-1.1,-0.4,-0.1,-0.3,-0.7,-0.4,-0.9,-0.2,-0.5,0.2,0.7,0,0,-0.6,-0.4,-0.5,-0.5,-0.3,0.3,0.3,-0.3,-0.4,-0.2,-0.9,-0.5,-0.5,-0.2,0.3,-0.3,-0.2,-0.3,-0.4,-0.6,-0.3,-1,-0.1,-0.1,-0.3,-0.6,-0.3,-0.6
1988,-1.6,-1.3,-1.1,-0.2,0.3,0.2,-0.1,-0.3,-0.3,-0.8,-0.2,-1,-0.33,0,-0.4,-0.5,-0.3,-1.1,-0.9,-1.1,0,0.2,0.5,0.1,-0.3,0,-1.2,0,-1.2,-0.3,0.1,-0.4,-0.4,-0.7,-1.7,-1.1,-1.3,-0.3,-0.1,-0.1,-0.1,-0.3,-0.4,-0.7,0.2,-0.2,-0.6,-0.2,-0.3,-0.5,0,-0.8,-0.9,-0.6,0.2,0.3,0.5,-0.1,-0.2,0.1,-1,-0.3,-1.4,0.0,0.1,-0.4,-0.4,-0.8
1989,0.5,-0.5,-0.2,-0.1,0,-0.3,0.6,0.2,-0.1,-0.5,-0.1,-0.3,-0.10,0.1,-0.3,-0.1,-0.1,-0.2,-0.7,-0.5,-0.8,-0.2,-0.3,0.4,-0.2,-0.2,-0.1,-0.3,-0.3,-0.5,-0.1,-0.2,-0.3,-0.3,0.7,-0.6,-0.3,0.3,0.4,0,0.4,0.3,0,-0.5,-0.3,-1,0.1,0.2,-0.3,0,-0.4,-0.4,-0.3,-0.4,-0.7,-0.2,-0.3,0.2,-0.2,-0.1,-0.3,-0.3,0,-0.4,-0.1,-0.2,-0.3,0.1
1990,0.1,-0.1,0.3,-0.3,0,0.1,0,0.1,-0.4,-0.4,-1.1,0.4,0.00,0.1,-0.6,-0.1,0.4,-0.4,-0.1,0.4,-0.6,0.3,0.4,0.1,0.1,0,-0.3,-0.6,0.1,0.0,0.2,-0.3,0,0.1,-0.2,-0.1,0.3,-0.6,-0.7,-0.3,0.1,0.1,-0.3,-0.3,-1.3,0.9,-0.3,0,-0.6,-0.2,0.7,0.1,0.4,0.5,-0.3,0.5,0.1,0,0.1,-0.3,-0.3,-0.7,0.1,0.2,0.1,-0.4,0,0.2
1991,0.4,0.4,-0.4,0.3,0.1,-0.1,0.4,-0.3,0,0,-0.6,0.8,0.00,0,-0.2,0.1,-0.1,0.3,0.2,-0.5,0.5,0.2,0.1,0.3,-0.1,0.1,-0.2,-0.4,-0.6,0.1,0.1,-0.2,0,-0.7,0.6,0.5,-0.3,0.5,0.1,0,0.5,-0.2,0,0,-0.6,0.9,0.1,0.1,-0.2,0.2,-0.6,0.5,0.2,-0.5,0.3,0,0.1,0.3,0,0.1,-0.1,-0.3,-0.4,-0.1,0.1,-0.1,0,-0.5
1992,0.6,-1.7,-0.6,-1.1,-0.2,-0.9,-0.7,-0.8,-0.1,-0.3,-0.9,-1.4,-0.63,-0.8,-0.4,-0.7,-0.5,0.1,-1.5,-0.5,-1,-0.6,-0.6,-0.8,-0.8,-0.6,-0.5,-0.5,-0.9,-0.7,-0.7,-0.5,-0.7,-0.3,0,-2.6,-0.9,-1.3,-0.3,-0.9,-0.5,-0.7,0.2,-0.2,-0.6,-2,-0.8,-0.7,-0.2,-0.8,-0.7,0.2,-1.3,-0.8,-0.7,-0.6,-0.6,-0.7,-0.8,-0.7,-0.4,-0.4,-0.9,-0.7,-0.7,-0.5,-0.6,-0.3
1993,0.4,-0.5,-0.1,0.2,-0.2,-0.4,-0.7,-0.9,-0.4,0.1,-0.7,0.1,-0.03,-0.7,-0.3,-0.3,-0.1,-0.1,0.1,-0.2,0,0.1,-0.5,-0.3,-0.6,-0.3,-0.2,-0.2,0,0.0,-0.4,-0.2,-0.2,0.1,0.6,-0.8,0.1,0.1,0.2,-0.1,-0.9,-0.8,-0.5,0.2,-0.7,-0.2,0.1,-0.6,-0.3,-0.2,-0.5,0.1,0,0.1,0.1,0,-0.4,-0.2,-0.7,-0.4,-0.1,-0.4,-0.5,0.1,-0.4,-0.3,-0.2,-0.1
1994,0.3,-0.7,0.6,0,0,0.5,-0.2,-0.2,-0.3,0.1,-0.1,0.1,0.20,0,-0.1,0,0.4,0.9,-0.4,0.9,0.4,0.4,0.7,-0.4,0,-0.1,0.1,0.4,0.1,0.6,0.1,0.1,0.3,0.2,-0.6,-0.7,0.2,0.1,-0.3,0.6,-0.1,-0.2,-0.2,0,-0.5,0.4,0.0,0.1,-0.2,-0.1,0.3,0.7,-0.5,0.5,0.3,0.6,0.9,-0.4,-0.1,-0.2,0.1,0.2,-0.1,0.5,0.1,0,0.2,-0.1
1995,-0.2,1.4,-0.3,-0.8,0,-0.4,-0.6,-0.5,-0.4,0,0.6,-1.2,-0.37,-0.5,0.1,-0.2,-0.6,-0.7,1.4,0,-0.3,0.1,-0.3,-0.2,-0.3,-0.3,-0.1,0.4,0.1,-0.1,-0.3,0,0,0,-0.5,1.1,-0.2,-0.7,0,-0.5,-0.7,-0.4,-0.1,-0.2,0.7,-2.1,-0.3,-0.5,0.1,-0.3,-0.8,-0.7,0.8,0.1,-0.4,0,-0.3,-0.1,-0.2,-0.3,0,0.3,-0.7,-0.1,-0.2,0,-0.1,-0.2
1996,-0.7,0.1,-0.3,0.6,0,0.4,0.2,-0.1,0.3,0.1,-0.1,-0.8,0.10,0.2,0.1,0,-0.3,0.3,-0.3,-0.5,0.3,-0.1,0.2,0,0,0.2,0.1,-0.3,-0.6,-0.1,0.1,0,-0.1,-0.4,-0.8,0.4,-0.2,0.6,0.3,0.6,0.1,0,0,0.1,-0.3,-1,0.2,0.2,-0.1,0,-0.2,0.4,-0.3,-0.5,0.3,-0.3,0.2,0.4,0.1,0,-0.2,-0.4,-0.4,-0.2,0.2,-0.2,-0.1,-0.4
1997,-0.9,0.8,0.8,0,0.2,0.1,-0.3,0.6,0.1,0,0.4,-0.2,0.33,0.1,0.1,0.1,0.1,-0.5,-0.1,1.4,-0.1,0.1,0,-0.2,0.5,0.2,-0.2,-0.2,-0.5,0.5,0.1,-0.1,0,-0.3,-0.7,1.1,0.6,-0.2,0.6,0.3,-0.1,0.5,0.3,0.2,0.4,-0.7,0.3,0.2,0.3,0.2,-0.1,-0.4,-0.1,1.2,0.2,0.2,0.2,-0.2,0.5,0.3,-0.1,0.3,0.2,0.5,0.2,0.1,0.2,0
1998,0.3,0.1,0.1,0.3,0.5,0.2,0,0.5,-0.1,-0.3,-0.3,0.2,0.30,0.3,-0.3,0.1,0.5,0.2,-0.5,0.2,0.6,0.7,0,0,0.6,-0.1,-0.3,0.1,0.2,0.5,0.2,-0.1,0.1,0.4,0.3,0.2,-0.3,0.1,0.1,0.1,0,0.3,-0.3,-0.4,0,0.2,0.0,0.2,-0.2,0,0.6,0.5,-0.4,0.3,0.5,0.7,-0.1,-0.1,0.6,-0.1,-0.4,0.4,-0.2,0.5,0.1,-0.1,0.1,0.1
1999,1,0.4,0,0.4,0.1,0,0.2,0.1,0.5,0.4,0.4,1.3,0.17,0.1,0.4,0.4,0.9,0.9,0.3,-0.1,0.2,-0.2,0,-0.1,0.1,0.2,0.4,0.9,0.4,0.0,0,0.5,0.2,0.8,1.2,0.5,0.5,0.5,0.2,0.1,0.1,0,0.5,0.6,0,1.1,0.4,0.1,0.4,0.4,0.6,0.9,-0.1,-0.1,0,-0.2,0.1,0,0.1,0.2,0.5,1,0.6,-0.1,0.1,0.6,0.3,0.7
2000,0.6,0.8,0.5,-0.3,-0.3,-0.5,0.2,0.4,0.5,0.7,0.2,0.7,-0.03,0,0.5,0.3,-0.3,1,1.1,0.3,-0.2,0,-0.1,0.2,0.4,0.3,0.4,0.6,2.1,0.0,0.2,0.5,0.5,0.4,0.5,0.2,0.3,-0.4,-0.4,-0.5,0.4,0.6,0.7,0.6,0.5,0.4,-0.2,0.2,0.6,0.2,-0.4,0.8,0.9,0.3,-0.1,0,-0.1,0.3,0.4,0.5,0.6,0.4,1.7,0.1,0.2,0.5,0.5,0.2
2001,-0.3,-1.3,0.2,0.2,-0.2,0.1,0.4,0,0,0.4,1.1,-0.6,0.07,0.1,0.5,0,0.4,-0.4,-0.5,-0.4,0.2,-0.4,-0.1,0.3,0,0,0,0,-1.2,-0.2,0.1,0,-0.2,0.2,-0.1,-1.4,0.5,0,-0.2,0.3,0.6,0,0.2,0.5,1.3,-0.6,0.1,0.3,0.6,0.1,0.4,-0.5,-0.5,-0.1,0.1,-0.4,0,0.3,0.2,0.1,0,0.2,-0.7,-0.1,0.2,0.1,-0.1,0.3
2002,0.9,1,-0.3,0.2,-0.1,0.4,0.4,0.4,0.2,0.2,1,0.9,-0.07,0.4,0.5,0.4,0.5,1,1,0.6,0.5,0,0.2,0.5,0.2,0.4,0.6,0.4,1.2,0.4,0.3,0.5,0.5,0.5,1.1,0.6,-0.4,0,-0.4,0.3,0.3,0.5,-0.1,0.1,0.9,1.4,-0.3,0.4,0.3,0.4,0.9,0.7,0.9,0.6,0.3,0.1,0.2,0.4,0.1,0.3,0.7,0.5,1.1,0.3,0.3,0.5,0.5,0.4
2003,0,0.6,-0.1,0.4,0.3,0.4,0.4,0.3,0.4,0.6,1.2,0.6,0.20,0.4,0.7,0.4,-0.1,0.3,0.1,-0.9,0.5,0.2,0.5,0.4,0.4,0.4,1,0.6,1,-0.1,0.4,0.7,0.4,0.3,-0.1,1.6,0,0.2,0.2,0.1,0.4,0.1,0.1,0.6,1.6,0.6,0.1,0.2,0.7,0.4,0,0.1,0.2,-0.8,0.2,0.3,0.3,0.5,0.2,0.3,0.8,0.5,1.1,-0.1,0.3,0.5,0.3,0.5
2004,-1,0.1,0.4,0.7,0.7,0.8,0.1,0.7,0.7,0.4,0.3,0.8,0.60,0.5,0.5,0.4,0.6,-0.6,0.6,0.6,0.6,0.6,0.3,0.2,0.4,0.6,0.2,0.5,0.7,0.6,0.3,0.4,0.4,0.4,-0.9,0.2,1.1,0.8,0.9,0.8,-0.1,0.7,0.7,0.5,0.4,1.6,0.9,0.4,0.6,0.6,1.1,-0.6,1.3,0.7,0.7,0.5,0.1,0.1,0.5,0.7,0.1,0.4,0.6,0.6,0.2,0.4,0.4,0.3
2005,0.5,0.7,1,0.2,-0.5,0.2,0.7,0.6,0.4,0.5,-0.1,-0.3,0.23,0.5,0.3,0.3,0,0.5,0.2,1,-0.1,-0.3,0,0.6,0.2,0.4,0.6,-0.1,0.1,0.2,0.3,0.3,0.3,0.6,0.9,0.8,0.9,0.3,-0.4,0,0.8,0.5,0.3,0.4,-0.7,0.1,0.3,0.4,0,0.3,0.3,0.1,0.3,0.7,-0.1,-0.3,-0.1,0.6,0.1,0.4,0.5,-0.2,0.4,0.1,0.2,0.3,0.2,0.6
2006,0.9,-0.7,0.9,0.8,0.2,0.1,0.6,0.6,0.3,0.1,-0.2,0,0.63,0.4,0.1,0.3,0.6,1.2,0.5,-0.2,-0.4,0.3,0.3,0.2,-0.1,0.4,0.5,2.6,2.3,-0.1,0.1,1.2,0.6,1.7,0.5,0.4,1.1,0,0.5,0.7,0.5,0.3,0.9,0.7,0.3,2.5,0.5,0.5,0.6,0.7,1.2,1.5,0.1,0.1,-0.1,0.1,-0.1,0.8,0.5,0.3,0.7,0.9,0.9,0.0,0.4,0.6,0.5,0.8
2007,0.4,1.3,0.1,1.3,-0.2,-0.1,0.3,-0.2,0.3,-0.4,0.3,0.7,0.40,0,0.1,0.3,0.4,1.3,1.5,0.9,1.1,0.6,-0.1,0.7,0.1,0.9,0.4,0.4,-0.3,0.9,0.3,0.6,0.6,0.1,0.7,0.4,0.1,0.1,0.3,0.6,0.4,0.7,0.6,-0.3,1.2,0.1,0.2,0.6,0.5,0.4,0.9,1.3,0.3,-0.4,0.4,1,0.3,0.4,0.7,0.5,0.4,0.9,0.2,0.3,0.5,0.6,0.5,1.1
2008,0.8,-0.2,0,1.2,0.7,1.1,0.6,0.1,0.4,0.1,1,0.9,0.63,0.6,0.5,0.6,1.4,0.6,0.1,0.7,-0.1,0.5,0.3,0.7,0.7,0.9,0.6,0.8,-0.6,0.4,0.6,0.8,0.4,0.2,1.6,0.9,1.4,0.7,0.2,-0.3,0,0.2,0.1,0.3,0.5,0,0.8,-0.1,0.3,0.5,0.2,1,2.3,1,1,1.7,0.3,0.5,0.2,0.8,0.5,1.5,1,1.2,0.3,0.9,1,1
2009,1.4,1.9,1,-0.1,0.3,0.7,0.9,0.7,0,0.5,2.3,1.7,0.40,0.7,0.9,0.9,1.3,1,0.2,-0.1,-0.6,0,0.5,0.5,0.5,0.2,-0.3,0.7,1.5,-0.2,0.5,0.2,0.3,0.8,0.4,0.3,-0.3,0.1,0.8,0.5,1,0.4,0.7,1.1,-0.1,-0.4,0.2,0.6,0.6,0.4,1,1.5,0.7,0.7,0.1,0.9,0.5,0.7,0.2,0.6,0.1,0.7,0.2,0.6,0.4,0.4,0.6,0.5
2010,1.3,1,0.4,0.4,0.5,0.3,0.6,0.6,0,0.4,2.1,0.8,0.43,0.5,0.8,0.7,1.1,1.3,-0.2,0,0.1,0.8,0.1,0.8,0.7,0.9,0.5,0.5,1.2,0.3,0.5,0.7,0.6,0.7,2.1,1.3,-0.4,1.5,0.9,0.8,0.6,1,0.3,0.8,1.4,1,0.7,0.8,0.8,0.9,0.8,1.1,0.2,0.9,0.5,0.3,0.3,0.9,0.7,0.5,0.8,0.4,0.7,0.6,0.6,0.6,0.6,0.7
2011,2,0.5,-0.3,1.1,0.7,0.4,0.4,1.2,0.1,0.3,0,1,0.50,0.7,0.2,0.6,1.4,0.1,1,1.1,-0.1,0.5,1.1,0.4,0.7,0.8,0.1,1.7,2.7,0.5,0.7,0.9,0.8,1.5,0.8,0.6,0.9,-0.2,0,0.8,1,0.4,1.4,0.8,1.7,2.3,0.2,0.7,1.3,0.9,1.8,0.6,1,1,0.2,0.6,0.2,0.5,0.5,0.5,0.1,0.2,1.7,0.6,0.4,0.3,0.6,1.2
2012,0.5,2.6,-0.1,0.3,0.7,0,1.2,0.4,1,0.5,1.8,2.3,0.30,0.5,1.1,0.9,1.8,1.4,0.6,0.6,1,0.4,0.8,0.5,0.9,0.5,0,1.5,-0.8,0.7,0.7,0.7,0.6,0.3,2.1,1.1,-0.8,1,1.1,0.3,1.2,1.3,1.3,0.9,0.2,1,0.4,1,0.8,0.9,1.3,2,0.2,0.6,0.4,0.8,0.9,0.9,0.8,0.7,1.1,1.6,0.2,0.6,0.9,1.1,0.9,1
2013,1.7,1.4,1.4,0.9,0.7,0.4,1,0.5,0.6,0.5,1.3,1.1,1.00,0.7,0.8,1,0.9,0.4,1.6,1.4,-0.2,0.3,0.7,0.6,0.1,0.7,0,0.5,0.7,0.5,0.4,0.4,0.6,1,1.3,1.6,0.4,1.5,0.7,0.2,0.4,0.4,1.2,0.1,0.3,0.4,0.9,0.3,0.5,0.7,1,1.9,0.9,1,0.3,0.8,0.3,0.7,0.6,0.8,0.2,0.6,1.1,0.7,0.6,0.5,0.8,0.9
2014,1.3,0.3,0.7,0.8,0.9,1,1.1,0.9,0.3,0.2,1.2,1.1,0.80,1,0.6,0.8,0.8,1.4,0.9,0.9,0.2,0.6,0.5,0.5,0.6,1,0.9,1.3,0.6,0.6,0.5,1.1,0.8,0.6,1,1.6,1,1.2,0.6,0.2,1.3,1,0.6,0.5,1.6,2.1,0.9,0.9,0.9,1.1,0.5,1,0.7,0.3,1.3,1.5,1.6,0.6,0.6,0.9,1.4,0.9,1.8,1.0,0.9,1,1,1.6
2015,1.2,0,0.6,0.5,0.6,0.4,1.1,1.3,1.2,0.9,1.1,1.8,0.57,1,1.1,0.9,1.5,0.9,0.5,0.7,0.4,0.7,1,0.9,1.2,0.7,0.8,-0.8,0.7,0.6,1,0.2,0.6,1.3,0.2,-0.9,-0.1,0.9,1.2,0.8,0.8,0.8,1,-0.2,1.2,1.1,0.7,0.8,0.7,0.6,0.9,2.1,0.9,0.3,0.3,0.2,0.9,1.2,0.7,1,0.6,1.3,1,0.3,0.9,1,0.9,1.7
2016,1.1,1.7,2.3,1.6,1.1,1,1.2,1.1,1.6,1,1.4,2.1,1.67,1.1,1.3,1.4,1.5,1.7,1.6,1,0.8,0.2,0.8,1,0.7,0.7,1,1,1.5,0.7,0.9,0.9,1,0.7,0,1.5,0.5,0.4,0.4,-0.1,1.1,1.1,1.3,1.3,0.1,2,0.4,0.7,0.9,0.8,1.5,1.6,2.6,0.3,0.4,0.9,0.7,0.8,0.7,1,0.7,2.4,1.3,0.5,0.8,1.4,1.1,1.2
2017,1.1,1.2,0.9,0.7,1.1,1,1.1,1.2,1.4,1.2,0.3,1.7,0.90,1.1,1,1.1,1.3,1.2,-0.4,2.2,1.1,0.9,0.2,1.2,0.3,1.4,0.8,0.9,0.4,1.4,0.5,1,0.8,0.8,1.5,0.9,-0.3,-0.2,-0.2,0.9,1.3,0.6,0.7,0.6,-1,0.1,-0.2,0.9,0.1,0.4,0.9,1.6,0.8,1.5,1.4,1.6,0.8,0.8,1.4,0.6,0.7,1.5,2.3,1.5,1,1,1.3,2
2018,1.5,0.6,0.5,0.2,0.5,0.5,1,1,0.9,1,2,2.4,0.40,0.8,1.3,1,2.4,1.4,0.8,0.3,0.4,0.2,0.8,0.8,0.9,0.5,1,0.9,0.3,0.3,0.8,0.8,0.7,0.7,1,1.8,2,0.5,0.4,0.9,1,1.1,1.7,1.1,1.3,1.9,1.0,1,1.4,1.2,1.1,2.5,1.2,0.9,0.2,0.7,0.4,1.1,1,0.7,0.7,1.4,2.3,0.6,0.8,0.9,1.1,1.9
2019,2.9,1.9,0.6,0.7,0.5,0.2,1.4,0.7,1.1,1.2,0.9,1.9,0.60,0.8,1.1,1.2,1.4,1.2,0.8,0.1,0.9,0.8,0.4,1.1,1,0.8,1.4,0.1,1.9,0.6,0.8,0.8,0.9,1.5,0.8,0.8,0.7,1,1.2,1,1.1,1,0.9,0.7,1.5,0.5,1.0,1,1,0.9,0.6,1.4,2.1,1.1,0.3,0.4,0.9,0.7,0.9,0.8,0.7,1,0.8,0.6,0.8,0.8,0.9,1.2
2020,1.9,0.5,1.4,1.6,1.6,0.3,1,0.8,1.2,1.3,1.7,1.7,1.53,0.7,1.4,1.2,2,1.9,0.8,0.7,0.3,0.3,0.4,0.8,0.6,0.8,0.4,0.3,0.3,0.4,0.6,0.5,0.6,0.5,0.9,0.4,-1.1,0.2,0.5,0.3,1,1,0.8,1,1.5,0.6,-0.1,0.8,1.1,0.6,0.5,1.8,1.1,-0.2,0.8,1.2,1.1,1.1,1,1.1,0.4,1.5,1.6,0.6,1,1,1,0.7
2021,2.9,1.3,1.5,1.3,1.5,1.2,1.4,1.3,1.2,0.8,1.1,1.1,1.43,1.3,1,1.4,1.3,0.9,0.6,1.2,0.3,0.3,0.8,0.9,1,1.1,1.3,1.7,1.4,0.6,0.9,1.4,0.9,0.9,0.6,0.2,1.1,1.1,1.4,1.4,1.2,0.4,0.7,1,1.7,1.3,1.2,1,1.2,1,1.3,0.6,0.2,0.1,0.6,0.5,0.7,0.9,0.8,1.2,0.7,1.2,1.2,0.4,0.8,1,0.7,1.3
2022,1.6,1.4,1,1.3,1.8,1.2,1.2,0.9,0.8,1.5,1.6,2.6,1.37,1.1,1.3,1.4,1.8,1,0.4,0.3,0.7,0.8,0.6,0.7,1.6,1,0.6,1.5,0.9,0.6,1,1,0.9,1.3,0.8,1.8,1.1,0.4,1.5,0.8,1.1,0.8,0.9,1.2,1.5,0.8,1.0,0.9,1.2,1,1,2,0.7,1.8,1,1.2,1,1,1.4,1,1.1,0.2,1.6,1.3,1.1,0.8,1.2,1.5
